item_id	timestamp	time	ord0
10700	2025-06-06	10:00	19
10699	2025-06-05	22:00	2
10698	2025-06-02	20:00	10
10697	2025-06-02	18:00	13
10696	2025-06-02	16:00	1
10695	2025-06-02	13:00	2
10694	2025-06-02	12:00	2
10693	2025-06-02	10:00	20
10692	2025-06-01	22:00	4
10691	2025-06-01	20:00	3
10690	2025-06-01	18:00	13
10689	2025-06-01	16:00	5
10688	2025-06-01	13:00	4
10687	2025-06-01	12:00	20
10686	2025-06-01	10:00	12
10685	2025-05-31	22:00	20
10684	2025-05-31	20:00	7
10683	2025-05-31	18:00	10
10682	2025-05-31	16:00	10
10681	2025-05-31	13:00	2
10680	2025-05-31	12:00	3
10679	2025-05-31	10:00	7
10678	2025-05-30	22:00	18
10677	2025-05-30	20:00	13
10676	2025-05-30	18:00	6
10675	2025-05-30	16:00	12
10674	2025-05-30	13:00	12
10673	2025-05-30	12:00	11
10672	2025-05-30	10:00	7
10671	2025-05-29	22:00	3
10670	2025-05-29	20:00	14
10669	2025-05-29	18:00	6
10668	2025-05-29	16:00	4
10667	2025-05-29	13:00	18
10666	2025-05-29	12:00	3
10665	2025-05-29	10:00	18
10664	2025-05-28	22:00	19
10663	2025-05-28	20:00	12
10662	2025-05-28	18:00	14
10661	2025-05-28	16:00	20
10660	2025-05-28	13:00	8
10659	2025-05-28	12:00	15
10658	2025-05-28	10:00	3
10657	2025-05-27	22:00	6
10656	2025-05-27	20:00	19
10655	2025-05-27	18:00	14
10654	2025-05-27	16:00	8
10653	2025-05-27	13:00	5
10652	2025-05-27	12:00	17
10651	2025-05-27	10:00	20
10650	2025-05-26	22:00	11
10649	2025-05-26	20:00	5
10648	2025-05-26	18:00	6
10647	2025-05-26	16:00	9
10646	2025-05-26	13:00	11
10645	2025-05-26	12:00	4
10644	2025-05-26	10:00	6
10643	2025-05-25	22:00	3
10642	2025-05-25	20:00	10
10641	2025-05-25	18:00	8
10640	2025-05-25	16:00	16
10639	2025-05-25	13:00	15
10638	2025-05-25	12:00	17
10637	2025-05-25	10:00	18
10636	2025-05-24	22:00	8
10635	2025-05-24	20:00	13
10634	2025-05-24	18:00	20
10633	2025-05-24	16:00	6
10632	2025-05-24	13:00	5
10631	2025-05-24	12:00	13
10630	2025-05-24	10:00	20
10629	2025-05-23	22:00	3
10628	2025-05-23	20:00	3
10627	2025-05-23	18:00	3
10626	2025-05-23	16:00	14
10625	2025-05-23	13:00	1
10624	2025-05-23	12:00	16
10623	2025-05-23	10:00	10
10622	2025-05-22	22:00	10
10621	2025-05-22	20:00	2
10620	2025-05-22	18:00	12
10619	2025-05-22	16:00	2
10618	2025-05-22	13:00	9
10617	2025-05-22	12:00	5
10616	2025-05-22	10:00	4
10615	2025-05-21	22:00	12
10614	2025-05-21	20:00	16
10613	2025-05-21	18:00	10
10612	2025-05-21	16:00	18
10611	2025-05-21	13:00	9
10610	2025-05-21	12:00	15
10609	2025-05-21	10:00	5
10608	2025-05-20	22:00	17
10607	2025-05-20	20:00	14
10606	2025-05-20	18:00	3
10605	2025-05-20	16:00	15
10604	2025-05-20	13:00	9
10603	2025-05-20	12:00	19
10602	2025-05-20	10:00	20
10601	2025-05-19	22:00	13
10600	2025-05-19	20:00	16
10599	2025-05-19	18:00	5
10598	2025-05-19	16:00	16
10597	2025-05-19	13:00	13
10596	2025-05-19	12:00	12
10595	2025-05-19	10:00	12
10594	2025-05-18	22:00	9
10593	2025-05-18	20:00	19
10592	2025-05-18	18:00	4
10591	2025-05-18	16:00	18
10590	2025-05-18	13:00	6
10589	2025-05-18	12:00	6
10588	2025-05-18	10:00	7
10587	2025-05-17	22:00	3
10586	2025-05-17	20:00	5
10585	2025-05-17	18:00	14
10584	2025-05-17	16:00	17
10583	2025-05-17	13:00	6
10582	2025-05-17	12:00	8
10581	2025-05-17	10:00	18
10580	2025-05-16	22:00	8
10579	2025-05-16	20:00	3
10578	2025-05-16	18:00	3
10577	2025-05-16	16:00	1
10576	2025-05-16	13:00	16
10575	2025-05-16	12:00	8
10574	2025-05-16	10:00	15
10573	2025-05-15	22:00	17
10572	2025-05-15	20:00	7
10571	2025-05-15	18:00	9
10570	2025-05-15	16:00	14
10569	2025-05-15	13:00	18
10568	2025-05-15	12:00	2
10567	2025-05-15	10:00	1
10566	2025-05-14	22:00	8
10565	2025-05-14	20:00	7
10564	2025-05-14	18:00	10
10563	2025-05-14	16:00	20
10562	2025-05-14	13:00	1
10561	2025-05-14	12:00	9
10560	2025-05-14	10:00	4
10559	2025-05-13	22:00	10
10558	2025-05-13	20:00	15
10557	2025-05-13	18:00	8
10556	2025-05-13	16:00	5
10555	2025-05-13	13:00	8
10554	2025-05-13	12:00	3
10553	2025-05-13	10:00	19
10552	2025-05-12	22:00	5
10551	2025-05-12	20:00	10
10550	2025-05-12	18:00	17
10549	2025-05-12	16:00	5
10548	2025-05-12	13:00	8
10547	2025-05-12	12:00	8
10546	2025-05-12	10:00	10
10545	2025-05-11	22:00	15
10544	2025-05-11	20:00	18
10543	2025-05-11	18:00	18
10542	2025-05-11	16:00	2
10541	2025-05-11	13:00	9
10540	2025-05-11	12:00	8
