<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
ICE.BRN	D	20151001	000000	48.4000000	49.8300000	47.6200000	48.0600000	203872
ICE.BRN	D	20151002	000000	47.9900000	48.5000000	46.9300000	48.2200000	168210
ICE.BRN	D	20151004	000000	48.0800000	48.3000000	47.8400000	47.8800000	329
ICE.BRN	D	20151005	000000	47.8500000	49.8700000	47.8500000	49.2200000	122472
ICE.BRN	D	20151006	000000	49.3700000	52.2600000	48.8700000	52.1500000	188969
ICE.BRN	D	20151007	000000	52.1500000	53.1500000	51.2100000	51.7500000	133502
ICE.BRN	D	20151008	000000	51.7600000	53.5200000	51.2800000	53.3000000	116912
ICE.BRN	D	20151009	000000	53.3500000	54.0500000	52.2100000	52.4300000	111431
ICE.BRN	D	20151011	000000	52.5900000	52.8500000	52.5400000	52.8100000	57
ICE.BRN	D	20151012	000000	52.8400000	53.6200000	50.1600000	50.6300000	113516
ICE.BRN	D	20151013	000000	50.7500000	51.1400000	49.3400000	49.6600000	155811
ICE.BRN	D	20151014	000000	49.4000000	50.0200000	49.2100000	49.5800000	137821
ICE.BRN	D	20151015	000000	49.6000000	50.3500000	48.7000000	50.3300000	196420
ICE.BRN	D	20151016	000000	50.2100000	50.7000000	49.3100000	50.5000000	117065
ICE.BRN	D	20151018	000000	50.3800000	50.6800000	50.3800000	50.6200000	183
ICE.BRN	D	20151019	000000	50.6800000	50.6800000	48.5700000	48.9100000	148134
ICE.BRN	D	20151020	000000	48.8300000	49.2000000	48.2200000	48.5600000	133175
ICE.BRN	D	20151021	000000	48.5800000	48.6500000	47.5000000	47.8900000	157590
ICE.BRN	D	20151022	000000	47.9600000	48.7300000	47.6500000	48.2200000	121196
ICE.BRN	D	20151023	000000	48.3200000	48.6500000	47.4500000	48.0800000	130286
ICE.BRN	D	20151025	000000	48.0000000	48.0200000	47.9000000	47.9700000	177
ICE.BRN	D	20151026	000000	47.9600000	48.3300000	47.3000000	47.4600000	111572
ICE.BRN	D	20151027	000000	47.4300000	47.5700000	46.4100000	47.0300000	142338
ICE.BRN	D	20151028	000000	46.9100000	49.2300000	46.6100000	49.1200000	167425
ICE.BRN	D	20151029	000000	49.1500000	49.3800000	48.1700000	48.6100000	146932
ICE.BRN	D	20151030	000000	48.6600000	50.0000000	48.2800000	49.5000000	144156
ICE.BRN	D	20151101	000000	49.4200000	49.5000000	49.3700000	49.3900000	249
ICE.BRN	D	20151102	000000	49.3900000	49.6900000	48.6100000	48.7700000	106228
